RAW_WORD,NORMALIZED_WORD,FREQUENCY,RANK,MEANING_ID,WORD_TYPE,IS_KRAMA
ing,ING,20843,1,di,Kata Sambung,
kang,KANG,12706,2,yang (krama),Kata Sambung,Krama
ora,ORA,12452,3,tidak,Kata Keadaan,
sing,SING,10360,4,yang,Kata Sambung,
ana,ANA,6098,5,"ada, terdapat",Kata Kerja,
wong,WONG,5855,6,orang,Kata Benda,
wis,WIS,5648,7,sudah,Kata Keterangan,
ingkang,INGKANG,4910,8,yang (krama),Kata Sambung,Krama
iku,IKU,4628,9,itu,Pronomina,
yèn,YEN,4354,10,"bila, jika",Kata Sambung,
karo,KARO,4104,11,"dengan, bersama, dan",Kata Sambung,
dadi,DADI,3579,12,jadi,Kata Sifat,
iki,IKI,3322,13,ini,Kata Benda,
saka,SAKA,3248,14,Dari,Kata Sambung,
marang,MARANG,3180,15,kepada,Kata Sambung,
banget,BANGET,2795,16,sangat,Kata Keterangan,
nanging,NANGING,2762,17,tetapi,Kata Sambung,
padha,PADHA,2724,18,sama,Kata Sifat,
punika,PUNIKA,2589,19,ini; itu,Pronomina,Krama
mung,MUNG,2422,20,hanya; cuman,,
kula,KULA,2322,21,saya; aku,Pronomina,
kuwi,KUWI,2273,22,itu,Pronomina,
arep,AREP,2171,23,hendak,Kata Sambung,
tembung,TEMBUNG,2162,24,kata,Kata Benda,
nganggo,NGANGGO,2144,25,pakai,Kata Kerja,
sang,SANG,2126,26,"kata yang dipakai di depan nama orang, binatang, atau benda yang dianggap hidup atau dimuliakan",Kata Depan,
taun,TAUN,2122,27,tahun,Kata Benda,
utawa,UTAWA,2083,28,atau,Kata Sambung,
para,PARA,2078,29,para,,
kowé,KOWE,2053,30,Anda / kamu / engkau (lebih kasar),Pronomina,
banjur,BANJUR,2001,31,"terus, kemudian",Kata Sambung,
wonten,WONTEN,1967,32,ada,Kata Keterangan,Krama
kanggo,KANGGO,1959,33,"buat, untuk, terpakai",Kata Depan,
kaping,KAPING,1873,34,kali; (tiga kaping = 3x),,
dianggo,DIANGGO,1844,35,dipakai,Kata Kerja,
akèh,AKEH,1797,36,banyak,Kata Sifat,
boten,BOTEN,1769,37,tidak,Kata Keterangan,
uga,UGA,1755,38,juga,Kata Keadaan,
déné,DENE,1583,39,sedangkan,Kata Sambung,
dina,DINA,1556,40,hari (seminggu ada 7 dina),,
sarta,SARTA,1537,41,serta; dengan; karo,,
katon,KATON,1505,42,tampak; terlihat,,
gawé,GAWE,1491,43,"buat, membuat, hajat",Kata Kerja,
