Frequency Rank,Javanese,Indonesian,Part of Speech,IPA,Audio,example sentence 1,example sentence 2,Is Krama,note
1,ing,di,Kata Sambung,,,,,,
2,kang,yang (krama),Kata Sambung,,,,,Krama,
3,ora,tidak,Kata Keadaan,,,,,,
4,sing,yang,Kata Sambung,,,,,,
5,ana,"ada, terdapat",Kata Kerja,,,,,,
6,wong,orang,Kata Benda,,,,,,
7,wis,sudah,Kata Keterangan,,,,,,
8,ingkang,yang (krama),Kata Sambung,,,,,Krama,
9,iku,itu,Pronomina,,,,,,
10,yèn,"bila, jika",Kata Sambung,,,,,,
11,karo,"dengan, bersama, dan",Kata Sambung,,,,,,
12,dadi,jadi,Kata Sifat,,,,,,
13,iki,ini,Kata Benda,,,,,,
14,saka,Dari,Kata Sambung,,,,,,
15,marang,kepada,Kata Sambung,,,,,,
16,banget,sangat,Kata Keterangan,,,,,,
17,nanging,tetapi,Kata Sambung,,,,,,
18,padha,sama,Kata Sifat,,,,,,
19,punika,ini; itu,Pronomina,,,,,Krama,
20,mung,hanya; cuman,,,,,,,
21,kula,saya; aku,Pronomina,,,,,,
22,kuwi,itu,Pronomina,,,,,,
23,arep,hendak,Kata Sambung,,,,,,
24,tembung,kata,Kata Benda,,,,,,
25,nganggo,pakai,Kata Kerja,,,,,,
26,sang,"kata yang dipakai di depan nama orang, binatang, atau benda yang dianggap hidup atau dimuliakan",Kata Depan,,,,,,
27,taun,tahun,Kata Benda,,,,,,
28,utawa,atau,Kata Sambung,,,,,,
29,para,para,,,,,,,
30,kowé,Anda / kamu / engkau (lebih kasar),Pronomina,,,,,,
31,banjur,"terus, kemudian",Kata Sambung,,,,,,
32,wonten,ada,Kata Keterangan,,,,,Krama,
33,kanggo,"buat, untuk, terpakai",Kata Depan,,,,,,
34,kaping,kali; (tiga kaping = 3x),,,,,,,
35,dianggo,dipakai,Kata Kerja,,,,,,
36,akèh,banyak,Kata Sifat,,,,,,
37,boten,tidak,Kata Keterangan,,,,,,
38,uga,juga,Kata Keadaan,,,,,,
39,déné,sedangkan,Kata Sambung,,,,,,
40,dina,hari (seminggu ada 7 dina),,,,,,,
41,sarta,serta; dengan; karo,,,,,,,
42,katon,tampak; terlihat,,,,,,,
43,gawé,"buat, membuat, hajat",Kata Kerja,,,,,,
44,kabèh,semua,Kata Bilangan,,,,,,
45,tanpa,tanpa,,,,,,,
46,engg,enggon (tempat),,,,,,,
47,gusti,tuan; yang mulia; gelar bangsawan,,,,,,,
48,isih,masih,Kata Keadaan,,,,,,
49,wae,saja,Kata Keterangan,,,,,,
50,nganti,sampai,,,,,,,
51,maneh,lagi,,,,,,,
52,kanthi,dengan,,,,,,,
53,dalem,rumah,Kata Benda,,,,,,
54,dhéwé,sendiri; sendirian,Kata Keadaan,,,,,,
55,sami,sama,,,,,,,
56,mas,saudara laki-laki yang lebih tua,Kata Benda,,,,,,
57,basa,bahasa; kata; sopan santun dalam bicara,,,,,,,
58,kudu,harus,,,,,,,
59,tansah,selalu,Kata Keadaan,,,,,,
60,bakal,bahan pakaian,Kata Benda,,,,,,
61,saking,"Dari, Asalnya",,,,,,,
62,saiki,sekarang,,,,,,,
63,duwé,punya,,,,,,,
64,sampun,sudah,,,,,,Krama,
65,pating,banyak; berkali kali,Kata Sifat,,,,,,
66,kala,waktu,,,,,,,
67,kita,Kita,Pronomina,,,,,,
68,kena,kena,,,,,,,
69,inggih,iya; membenarkan sesuatu,,,,,,,
70,dheweke,dia,Pronomina,,,,,,
71,utawi,atau,Kata Sambung,,,,,,
72,omah,rumah,Kata Benda,,,,,,
73,déning,oleh,Kata Depan,,,,,,
74,wau,tadi,Kata Benda,,,,,Krama,
75,becik,baik,Kata Sifat,,,,,,
76,jawa,bertanggung jawab; tahu kewajibannya,Kata Sifat,,,,,,
77,gedhé,besar,Kata Sifat,,,,,,
78,banyu,air,Kata Benda,,,,,,
79,durung,belum,Kata Keadaan,,,,,,
80,raden,gelar keturunan raja; gelar putra putri raja,,,,,,,
81,bapak,"bapak, ayah",Kata Benda,,,,,,
82,nalika,ketika,,,,,,,
83,barang,pertunjukan kesenian berkeliling,Kata Benda,,,,,,
84,bab,"bab, hal, mengenai",Kata Benda,,,,,,
85,bocah,anak,Kata Benda,,,,,,
86,wulan,bulan,Kata Benda,,,,,Krama,
87,wus,sudah,Kata Keadaan,,,,,,
88,luwih,lebih,,,,,,,
89,kangjeng,kang ajeng; (yang) penguasa,,,,,,,
90,marga,jalan,,,,,,,
91,wadon,perempuan,Kata Sifat,,,,,,
92,sarana,sarana,,,,,,,
93,olèh,boleh,,,,,,,
94,sareng,bareng; bersama,,,,,,,
95,cilik,kecil,Kata Sifat,,,,,,
96,dhuwit,duit; uang,Kata Benda,,,,,,
97,saben,setiap,,,,,,,
98,lara,sakit,,,,,,,
99,ati,hati; [[ngati-ati,Kata Benda,,,,,,
100,dipun,di-,Kata Depan,,,,,Krama,
101,aja,jangan,Kata Seru,,,,,,
102,mbok,ibu,Kata Benda,,,,,Krama,
103,dinten,hari; dina,,,,,,Krama,
104,menyang,pergi,,,,,,,
105,menika,itu; ini; yaitu,,,,,,,
106,ning,panggilan untuk kakak perempuan,,,,,,,
107,pancen,memang,,,,,,,
108,wiwit,mulai,Kata Kerja,,,,,,
109,kalih,dua,,,,,,,
110,anggone,dalam,,,,,,,
111,dateng,datang,,,,,,,
112,ratu,ratu,,,,,,,
113,neng,diam; hening,,,,,,,
114,pemut,pesan,,,,,,,
115,marengi,bersama; bersamaan; bareng,,,,,,,
116,dados,jadi,Kata Sifat,,,,,Krama,
117,atine,hatinya,,,,,,,
118,pada,bait,,,,,,,
119,désa,desa,Kata Benda,,,,,,
120,terus,"terus, kemudian",,,,,,,
121,ladjeng,"terus, kemudian, selanjutnya",,,,,,,
122,sira,mereka; dia,,,,,,Krama,
123,ngono,begitu; seperti itu,,,,,,,
124,saged,bisa mampu,,,,,,,
125,mula,maka,,,,,,,
126,tiyang,tiang; orang; manusia,,,,,,,
127,sapa,siapa; sinten,,,,,,,
128,seneng,gembira,,,,,,,
129,ngerti,paham; mengerti,,,,,,,
130,awit,"mulai, karena",Kata Sambung,,,,,,
131,loro,dua,Kata Sifat,,,,,,
132,wit,pohon,Kata Benda,,,,,,
